Spectrum,Type,Name,Norm,Time/h,Na2O,Na2O.err,MgO,MgO.err,Al2O3,Al2O3.err,SiO2,SiO2.err,P2O5,P2O5.err,SO3,SO3.err,Cl,Cl.err,K2O,K2O.err,CaO,CaO.err,TiO2,TiO2.err,Cr2O3,Cr2O3.err,MnO,MnO.err,FeO,FeO.err,Ni,Ni.err,Zn,Zn.err,Br,Br.err
B634_CS,RR,Olympia_Kalavrita,71,10.4,1.78,0.22,7.39,0.10,6.52,0.09,37.50,0.35,0.98,0.08,20.72,0.18,0.56,0.01,0.55,0.06,5.84,0.04,0.79,0.07,0.25,0.03,0.33,0.01,16.60,0.10,496,42,394,14,67,15
B638_CS,RB,Olympia_Ziakas,77,12.0,1.73,0.16,7.36,0.07,6.26,0.06,36.90,0.23,1.02,0.07,23.00,0.16,0.84,0.01,0.55,0.06,5.12,0.03,0.76,0.06,0.18,0.03,0.31,0.01,15.80,0.06,544,39,559,13,74,14
B642_CS,CU,Olympia_Antistasi_Cobble,53,11.9,2.51,0.18,7.63,0.08,11.43,0.11,47.40,0.35,1.09,0.07,3.73,0.05,0.53,0.01,0.45,0.06,6.92,0.05,1.08,0.07,0.24,0.03,0.30,0.01,16.50,0.08,899,49,189,12,35,14
B675_CS,RU,Williams_asis_long,57,11.8,1.88,0.18,7.50,0.09,6.93,0.09,39.10,0.35,1.01,0.08,19.62,0.18,0.75,0.01,0.57,0.06,5.45,0.04,0.83,0.07,0.19,0.03,0.25,0.01,15.80,0.10,549,44,470,15,65,15
B679_CS,RU,Ted,76,2.7,2.04,0.31,7.27,0.15,7.29,0.14,40.10,0.44,1.03,0.09,17.51,0.21,0.90,0.02,0.57,0.06,5.61,0.06,0.85,0.07,0.21,0.04,0.32,0.02,16.20,0.14,571,59,541,26,161,21
B680_CS,RB,Ted_Brushed,80,11.3,1.93,0.16,7.23,0.07,6.69,0.07,38.20,0.24,1.03,0.07,20.62,0.15,0.80,0.01,0.58,0.06,5.45,0.04,0.78,0.06,0.19,0.03,0.31,0.01,16.00,0.06,548,40,536,13,177,15
B686_CS,RU,Hunt,73,13.0,2.00,0.22,7.48,0.10,7.00,0.09,39.20,0.35,1.01,0.07,19.06,0.16,0.76,0.01,0.55,0.06,5.23,0.04,0.80,0.06,0.20,0.03,0.29,0.01,16.30,0.10,561,40,634,15,157,16
B696_CS,RR,Ted_RAT,48,6.5,1.51,0.22,7.08,0.11,5.40,0.09,34.60,0.36,1.01,0.09,26.52,0.27,0.46,0.02,0.55,0.06,5.74,0.05,0.71,0.07,0.18,0.03,0.32,0.01,15.80,0.12,537,55,554,23,182,20
B726_CS,RU,Roosevelt_RoughRider,39,12.2,1.94,0.19,6.75,0.09,7.29,0.10,39.90,0.38,1.04,0.08,16.02,0.16,0.81,0.02,0.59,0.06,5.71,0.05,0.84,0.07,0.22,0.03,0.31,0.01,18.40,0.12,572,52,495,19,73,17
B730_CS,SU,Fala,82,3.0,2.17,0.29,7.46,0.15,8.89,0.14,45.60,0.48,0.85,0.08,4.95,0.09,0.62,0.02,0.47,0.06,7.50,0.07,0.94,0.07,0.46,0.04,0.43,0.02,19.60,0.15,408,54,267,20,31,18
B805_CS,RB,Brookeville,73,3.0,1.56,0.22,8.44,0.13,5.96,0.10,34.70,0.38,1.00,0.09,25.19,0.28,0.67,0.02,0.49,0.06,5.01,0.06,0.72,0.07,0.17,0.03,0.29,0.01,15.70,0.13,553,57,375,22,164,20
B818_CS,RB,Cheyenne,69,3.5,1.67,0.25,7.99,0.13,6.18,0.11,35.60,0.39,0.98,0.09,24.18,0.27,0.69,0.02,0.50,0.06,5.26,0.06,0.75,0.07,0.18,0.03,0.30,0.01,15.60,0.13,524,56,550,24,123,19
B825_CS,SU,Alamogordo_Creek,81,3.7,2.23,0.25,6.48,0.12,8.25,0.11,41.10,0.42,0.79,0.08,5.43,0.08,0.65,0.02,0.41,0.06,5.98,0.06,0.77,0.07,0.30,0.04,0.30,0.01,27.10,0.18,661,59,310,20,48,18
B879_CS,SD,Westport,71,3.4,2.30,0.27,7.18,0.14,8.84,0.14,45.10,0.47,0.91,0.08,6.72,0.10,0.65,0.02,0.47,0.06,6.87,0.07,1.14,0.08,0.41,0.04,0.36,0.02,18.90,0.14,475,56,411,23,434,24
B886_CS,CU,Joseph_McCoy,43,3.0,2.37,0.23,7.53,0.12,9.86,0.13,44.60,0.37,1.02,0.09,4.89,0.10,0.67,0.02,0.48,0.07,6.69,0.07,1.04,0.08,0.29,0.04,0.31,0.02,20.10,0.12,807,81,263,29,37,20
B890_CS,CU,Haiwassee,43,4.2,2.14,0.23,7.19,0.12,9.14,0.13,43.70,0.47,1.02,0.09,5.99,0.11,0.82,0.02,0.47,0.06,6.73,0.07,0.95,0.08,0.23,0.04,0.31,0.02,21.20,0.17,566,69,282,25,64,21
B893_CS,RR,Baltra,75,5.7,1.67,0.24,7.36,0.11,5.54,0.09,35.00,0.34,1.02,0.08,25.79,0.25,0.73,0.02,0.54,0.06,5.12,0.05,0.66,0.07,0.17,0.03,0.34,0.01,15.90,0.11,568,48,488,18,303,20
B910_CS,SU,Marchena,81,3.3,2.16,0.27,6.32,0.13,7.39,0.12,37.90,0.41,0.82,0.08,5.28,0.09,0.73,0.02,0.36,0.06,5.04,0.05,0.70,0.07,0.30,0.04,0.27,0.01,32.50,0.22,1082,71,377,24,84,19
B911_CS,SU,Isabela,82,3.8,2.09,0.27,6.29,0.12,7.27,0.11,37.40,0.39,0.83,0.08,5.11,0.08,0.73,0.02,0.36,0.06,4.90,0.05,0.69,0.07,0.30,0.04,0.26,0.01,33.60,0.22,1120,69,331,21,126,19
B924_CS,SD,Powell,74,3.7,1.84,0.28,9.36,0.14,7.23,0.12,38.70,0.41,0.97,0.08,16.46,0.19,0.87,0.02,0.48,0.06,5.01,0.05,0.97,0.07,0.35,0.04,0.37,0.01,17.30,0.13,437,52,402,20,176,20
B928_CS,SD,Powells_Brother,83,2.0,2.33,0.22,7.25,0.11,8.49,0.12,43.00,0.36,0.85,0.08,5.79,0.10,0.60,0.02,0.41,0.06,6.57,0.07,1.12,0.08,0.47,0.04,0.39,0.02,22.60,0.12,477,64,344,25,171,21
B941a_S,RU,Faraday,68,4.1,2.16,0.27,7.13,0.13,7.77,0.12,42.10,0.44,1.09,0.09,14.96,0.18,1.03,0.02,0.63,0.06,6.09,0.06,0.92,0.08,0.23,0.03,0.29,0.01,15.40,0.12,478,53,385,20,297,21
B961_CS,RB,Cha_brushed,68,5.6,1.92,0.19,5.48,0.08,6.87,0.09,41.20,0.39,1.15,0.08,18.13,0.19,0.92,0.02,0.66,0.06,5.24,0.05,0.88,0.07,0.23,0.03,0.36,0.01,16.90,0.12,506,49,455,19,463,22
B962_CS,RR,Cha_RAT,65,6.0,1.94,0.17,5.14,0.07,6.66,0.09,41.10,0.29,1.17,0.08,18.89,0.17,0.90,0.02,0.70,0.06,5.24,0.04,0.86,0.07,0.22,0.03,0.37,0.01,16.70,0.08,476,48,476,19,471,21
B1036_CS,RB,Rio_de_Janeiro,74,3.4,1.81,0.20,6.68,0.09,6.34,0.09,38.90,0.32,1.09,0.08,21.09,0.21,1.04,0.02,0.60,0.06,5.47,0.05,0.80,0.07,0.19,0.03,0.30,0.01,15.60,0.09,483,54,435,22,234,20
B1046sCS,RU,SantaCatarina,64,7.2,1.51,0.35,18.04,0.20,4.35,0.10,44.00,0.41,0.61,0.07,5.09,0.07,0.62,0.01,0.14,0.05,3.43,0.03,0.24,0.06,0.61,0.04,0.38,0.01,20.60,0.13,3207,76,164,13,59,16
B1136_CS,SU,Sevilla,76,3.9,1.96,0.28,6.62,0.13,7.79,0.11,40.00,0.37,0.85,0.08,5.89,0.08,0.75,0.02,0.42,0.06,5.96,0.05,0.82,0.07,0.31,0.03,0.29,0.01,28.20,0.15,660,59,351,20,83,17
B1140_CS,SU,Palencia,74,3.0,1.97,0.31,6.73,0.15,7.34,0.13,38.90,0.43,0.77,0.08,4.87,0.09,0.67,0.02,0.40,0.06,5.69,0.06,0.79,0.07,0.39,0.04,0.28,0.02,31.10,0.22,546,65,283,23,62,19
B1145_CS,SU,Alicante,28,4.2,1.31,0.29,6.75,0.16,7.83,0.14,41.90,0.40,0.88,0.09,4.58,0.10,0.62,0.02,0.48,0.07,6.67,0.08,0.87,0.08,0.42,0.05,0.30,0.02,27.30,0.15,361,86,269,34,54,23
B1148_CS,SU,Alicante2,70,3.6,1.97,0.19,7.38,0.09,7.88,0.10,42.40,0.32,0.79,0.08,4.50,0.07,0.60,0.02,0.44,0.06,6.64,0.06,0.89,0.07,0.46,0.04,0.37,0.01,25.60,0.12,517,58,255,19,21,16
B1168_CS,RB,VivaLaRata,68,7.4,1.93,0.24,7.64,0.11,7.15,0.09,39.80,0.33,1.02,0.08,17.45,0.16,1.00,0.02,0.54,0.06,5.81,0.04,0.84,0.07,0.24,0.03,0.28,0.01,16.20,0.09,497,45,413,15,247,17
B1176_CS,RU,Cercedilla,69,4.4,1.97,0.22,7.04,0.11,7.31,0.11,40.80,0.41,1.07,0.09,18.42,0.20,0.85,0.02,0.64,0.06,5.73,0.05,0.86,0.07,0.21,0.03,0.20,0.01,14.80,0.11,319,47,291,17,264,20
B1178_CS,RB,Cercedilla_brush,69,3.7,1.95,0.22,7.09,0.11,7.25,0.11,40.60,0.42,1.06,0.09,18.52,0.21,0.85,0.02,0.62,0.06,5.74,0.06,0.85,0.07,0.20,0.03,0.20,0.01,15.00,0.12,340,50,261,18,274,20
B1182_CS,RR,Cercedilla_RAT,61,3.5,2.03,0.30,7.14,0.15,6.97,0.13,39.10,0.43,1.04,0.09,19.10,0.23,0.57,0.02,0.66,0.07,5.88,0.06,0.84,0.07,0.23,0.04,0.21,0.01,16.10,0.13,371,55,273,20,297,23
B1311_CT,RU,StenoAsis,67,2.9,1.88,0.23,7.51,0.13,7.00,0.14,39.40,0.43,1.03,0.10,18.36,0.23,0.87,0.02,0.54,0.06,5.26,0.06,0.79,0.07,0.19,0.04,0.29,0.02,16.70,0.14,563,61,506,26,34,18
B1313_CT,RB,StenoBrush,68,3.4,1.63,0.23,7.40,0.12,6.04,0.11,36.30,0.39,1.01,0.09,23.22,0.26,0.80,0.02,0.49,0.06,5.35,0.06,0.74,0.07,0.17,0.03,0.31,0.01,16.40,0.13,580,58,567,25,47,17
B1316_CT,RR,StenoRAT,77,11.6,1.46,0.16,7.23,0.07,5.32,0.06,34.40,0.22,1.00,0.07,26.38,0.17,0.68,0.01,0.52,0.06,5.62,0.04,0.71,0.06,0.18,0.03,0.33,0.01,16.10,0.06,523,39,507,13,22,13
B1322_CT,RU,HallAsis,59,11.6,2.05,0.18,7.21,0.09,7.33,0.09,40.00,0.36,1.02,0.08,17.20,0.16,0.89,0.02,0.53,0.06,5.44,0.04,0.85,0.07,0.20,0.03,0.32,0.01,16.90,0.11,583,44,483,15,72,16
B1332_CS,RU,SmithAsis,68,9.0,2.16,0.17,7.47,0.08,8.11,0.08,42.50,0.28,1.01,0.07,12.72,0.11,0.98,0.02,0.52,0.06,6.17,0.04,0.95,0.07,0.23,0.03,0.26,0.01,16.80,0.07,579,43,705,17,170,16
B1348_CS,RB,SmithBrushed,55,3.4,1.71,0.33,7.65,0.16,5.84,0.12,36.10,0.41,1.07,0.10,23.24,0.27,0.81,0.02,0.58,0.06,4.34,0.05,0.81,0.07,0.22,0.04,0.29,0.02,17.20,0.15,637,64,859,33,122,19
B1349_CS,RB,SmithBrushed2,55,10.6,1.70,0.24,7.63,0.11,5.85,0.09,36.10,0.34,1.04,0.08,23.21,0.21,0.78,0.02,0.57,0.06,4.37,0.04,0.83,0.07,0.19,0.03,0.26,0.01,17.20,0.11,598,46,835,20,122,16
B1361_CS,RU,Smith2Asis,66,3.8,2.09,0.22,7.18,0.11,8.17,0.12,42.80,0.44,0.99,0.08,11.79,0.15,0.96,0.02,0.55,0.06,6.31,0.06,0.94,0.08,0.23,0.04,0.32,0.01,17.50,0.14,561,57,683,27,199,20
B1375_CS,RR,Smith2RAT,55,12.0,1.70,0.18,7.27,0.09,6.10,0.08,37.20,0.34,1.03,0.08,22.02,0.20,0.84,0.02,0.58,0.06,4.47,0.04,0.83,0.07,0.19,0.03,0.29,0.01,17.30,0.11,624,45,777,19,113,16
B1384_CS,RU,Lyell1_asis,53,12.0,2.00,0.18,7.53,0.09,7.13,0.09,39.20,0.35,1.03,0.08,17.96,0.17,1.11,0.02,0.55,0.06,5.49,0.04,0.88,0.07,0.20,0.03,0.26,0.01,16.50,0.11,544,45,434,15,131,16
B1388_CS,RR,Lyell1_RAT,50,12.0,1.47,0.24,7.82,0.11,5.80,0.09,35.70,0.34,1.04,0.08,23.41,0.21,1.43,0.02,0.58,0.06,4.28,0.04,0.84,0.07,0.19,0.03,0.29,0.01,17.00,0.11,603,46,455,16,57,16
B1395_CT,RU,Lyell2_asis,62,10.6,2.13,0.18,7.31,0.09,7.60,0.09,40.70,0.37,1.03,0.07,15.59,0.15,1.10,0.02,0.57,0.06,5.76,0.04,0.89,0.07,0.21,0.03,0.28,0.01,16.70,0.11,566,44,392,14,196,17
B1397_CS,RU,Lyell3_asis,56,13.5,2.07,0.18,7.36,0.09,7.54,0.09,40.80,0.36,1.02,0.07,15.79,0.15,1.12,0.02,0.55,0.06,5.64,0.04,0.89,0.07,0.18,0.03,0.27,0.01,16.60,0.10,579,43,427,14,248,17
B1409_CS,RU,Smith3_Asis,54,3.8,1.93,0.22,7.42,0.10,7.30,0.10,39.90,0.34,1.05,0.09,16.69,0.18,1.08,0.03,0.56,0.06,5.75,0.06,0.81,0.07,0.23,0.04,0.32,0.01,16.80,0.10,628,61,460,25,206,20
B1410_CS,RU,Smith3_Asis_Second,54,4.0,1.99,0.22,7.36,0.12,7.37,0.12,40.00,0.43,1.01,0.09,16.67,0.20,1.07,0.03,0.56,0.06,5.71,0.06,0.84,0.07,0.19,0.04,0.35,0.02,16.70,0.14,540,59,437,24,214,21
B1411_CS,RU,Lyell4_asis,56,3.7,2.03,0.22,7.45,0.12,7.25,0.12,39.60,0.43,1.04,0.09,17.29,0.21,1.15,0.03,0.56,0.06,5.51,0.06,0.82,0.07,0.18,0.04,0.33,0.01,16.60,0.14,601,61,405,24,162,21
B1412_CS,RU,Lyell4_asis_second,56,3.9,2.01,0.22,7.41,0.12,7.18,0.12,39.60,0.42,1.02,0.09,17.45,0.21,1.14,0.03,0.56,0.06,5.46,0.06,0.81,0.08,0.23,0.04,0.32,0.01,16.70,0.14,553,58,442,24,165,21
B1413_CS,RU,Lyell4_asis_third,57,3.6,2.01,0.21,7.40,0.10,7.29,0.10,39.50,0.34,1.00,0.08,17.32,0.19,1.16,0.03,0.57,0.06,5.55,0.06,0.82,0.07,0.22,0.04,0.33,0.01,16.70,0.10,542,59,439,24,169,20
B1414_CS,RU,Lyell5_Smith_Side,67,12.0,2.12,0.23,7.24,0.10,7.86,0.10,41.60,0.37,0.99,0.07,13.81,0.13,1.02,0.02,0.54,0.06,6.08,0.04,0.88,0.06,0.23,0.03,0.34,0.01,17.20,0.11,597,42,467,14,151,16
B1415_CS,RU,Lyell5_Smith_Side_second,67,4.5,2.17,0.21,7.30,0.11,7.95,0.11,41.60,0.42,1.02,0.08,13.65,0.16,1.02,0.02,0.54,0.06,6.01,0.06,0.86,0.08,0.21,0.03,0.36,0.01,17.20,0.13,614,54,499,22,153,19
B1422_CS,RU,Lyell_Buckland_asis,58,12.0,2.15,0.18,7.30,0.09,7.77,0.09,40.90,0.36,1.00,0.07,14.58,0.14,1.07,0.02,0.53,0.06,6.30,0.05,0.89,0.07,0.22,0.03,0.37,0.01,16.80,0.11,543,43,499,15,58,14
B1431_CS,RR,Lyell_Buckland_RAT,55,12.0,1.60,0.22,7.49,0.10,5.64,0.08,35.10,0.33,0.99,0.08,22.95,0.21,1.70,0.02,0.55,0.06,4.71,0.04,0.78,0.06,0.18,0.03,0.36,0.01,17.80,0.11,632,46,549,16,35,15
B1444_CS,RU,Lyell_Exeter_asis,58,4.5,2.09,0.21,7.13,0.11,7.92,0.12,41.60,0.43,0.96,0.08,13.49,0.17,1.12,0.02,0.53,0.06,6.36,0.06,0.93,0.08,0.21,0.03,0.33,0.01,17.20,0.14,537,56,488,23,61,18
B1445_CS,RU,Lyell_Exeter_asis_Second,58,3.9,2.16,0.19,7.22,0.10,8.01,0.10,41.40,0.39,1.00,0.08,13.48,0.16,1.10,0.02,0.55,0.06,6.33,0.06,0.91,0.07,0.21,0.03,0.34,0.01,17.20,0.11,544,58,495,24,54,17
B1456_CS,RU,Gilbert_asis,58,1.8,2.14,0.36,7.24,0.19,8.42,0.18,43.30,0.54,0.96,0.10,10.50,0.18,1.04,0.03,0.51,0.07,6.65,0.09,0.87,0.09,0.30,0.04,0.37,0.02,17.60,0.18,446,73,450,34,46,21
B1457_CS,RU,Dorsal,49,5.0,2.29,0.21,6.86,0.10,8.31,0.10,42.90,0.33,0.93,0.08,8.45,0.11,1.19,0.02,0.51,0.06,6.48,0.06,0.92,0.07,0.32,0.04,0.45,0.01,20.20,0.11,472,57,376,22,181,20
B1463_CS,RU,Dorsal_new,61,4.4,2.60,0.20,6.42,0.10,7.42,0.11,39.50,0.41,0.89,0.08,7.31,0.11,2.13,0.03,0.45,0.06,5.20,0.05,0.79,0.07,0.30,0.04,0.59,0.02,26.20,0.18,810,65,435,23,282,23
B1481_CS,RR,Gilbert_RAT,55,4.6,1.94,0.20,5.99,0.09,6.68,0.09,40.70,0.35,1.07,0.08,17.38,0.19,1.41,0.03,0.63,0.06,4.46,0.04,0.90,0.07,0.22,0.03,0.34,0.01,18.20,0.10,520,56,553,24,23,16
B1647_CS,SU,PostVictoriaRippleSoil,75,12.0,2.22,0.17,6.65,0.08,7.67,0.10,39.60,0.34,0.91,0.07,7.30,0.08,0.84,0.01,0.41,0.06,5.85,0.04,0.81,0.06,0.28,0.03,0.28,0.01,27.00,0.15,702,44,413,13,100,15
B1745_CS,CU,SanTorini1,49,10.5,1.50,0.33,17.79,0.19,4.43,0.10,44.10,0.42,0.59,0.07,3.88,0.06,0.53,0.01,0.14,0.05,3.26,0.03,0.31,0.06,0.61,0.04,0.37,0.01,22.10,0.14,3255,76,128,12,22,15
B1747_CS,CU,SanTorini2,57,8.0,1.43,0.36,19.67,0.21,3.93,0.09,44.70,0.50,0.54,0.07,3.40,0.06,0.51,0.01,0.11,0.05,2.92,0.03,0.23,0.06,0.62,0.04,0.39,0.01,20.90,0.14,4979,91,120,12,20,15
B1754_CS,RU,Candia_Crete,52,11.7,2.12,0.19,7.39,0.09,8.10,0.10,42.20,0.38,1.03,0.08,13.64,0.14,0.88,0.02,0.53,0.06,6.06,0.05,0.89,0.07,0.23,0.03,0.29,0.01,16.50,0.11,520,45,496,16,97,16
B1755_CS,SU,Minos1,71,2.8,2.13,0.25,6.60,0.15,7.73,0.23,39.30,0.44,0.81,0.09,5.10,0.10,0.66,0.02,0.37,0.06,5.41,0.06,0.74,0.07,0.30,0.04,0.29,0.02,30.40,0.22,800,72,385,26,52,22
B1826_CS,RU,CookIsland,61,10.5,2.11,0.19,6.96,0.09,8.10,0.10,42.20,0.38,1.00,0.07,12.42,0.12,0.96,0.02,0.53,0.06,6.00,0.04,0.87,0.07,0.21,0.03,0.28,0.01,18.20,0.11,541,44,527,16,63,16
B1836_CS,RB,Penrhyn,48,3.1,2.01,0.26,7.14,0.15,7.40,0.20,40.20,0.48,1.01,0.10,16.50,0.22,0.88,0.03,0.57,0.07,5.88,0.07,0.86,0.08,0.26,0.04,0.29,0.02,16.90,0.15,436,65,514,30,50,21
B1843_CS,RR,Penrhyn_RAT,65,2.2,1.76,0.25,6.92,0.13,5.71,0.12,33.80,0.40,0.97,0.10,21.44,0.28,0.69,0.03,0.50,0.07,4.96,0.06,0.70,0.08,0.26,0.04,0.25,0.02,22.00,0.18,730,75,391,30,79,23
B1880_CS,CU,TilosKos2,18,3.4,1.24,0.27,6.78,0.17,8.55,0.17,42.90,0.52,1.18,0.11,7.23,0.17,0.74,0.04,0.58,0.08,7.21,0.11,1.13,0.10,0.31,0.06,0.40,0.03,21.60,0.19,485,119,437,53,47,27
B1881_CS,CU,Tilos,17,3.7,1.24,0.28,8.22,0.19,8.37,0.20,43.50,0.61,1.14,0.11,6.15,0.17,0.66,0.03,0.51,0.07,7.22,0.11,1.05,0.10,0.47,0.06,0.41,0.03,21.00,0.24,465,122,299,51,35,36
B1882_CS,CU,Rhodes,17,12.0,1.33,0.20,6.81,0.12,8.26,0.13,42.70,0.47,1.15,0.09,6.06,0.11,0.70,0.02,0.59,0.07,6.97,0.07,1.12,0.09,0.28,0.04,0.34,0.02,23.50,0.18,435,80,335,30,65,22
B1886_CS,CU,Kalos1,55,11.5,1.59,0.20,18.25,0.15,4.27,0.08,43.70,0.29,0.55,0.07,5.50,0.06,0.43,0.01,0.15,0.05,3.00,0.03,0.23,0.06,0.55,0.03,0.39,0.01,21.00,0.08,2722,65,88,9,99,15
B1918_CS,SD,Ios,71,3.5,2.15,0.29,7.55,0.15,8.77,0.14,44.40,0.47,0.83,0.08,5.51,0.09,0.59,0.02,0.41,0.06,6.83,0.06,1.14,0.08,0.52,0.04,0.41,0.02,20.70,0.16,384,54,301,20,41,18
B1919_CS,SD,Ios2,71,3.4,2.27,0.21,7.53,0.11,8.71,0.13,44.40,0.46,0.84,0.08,5.46,0.09,0.60,0.02,0.43,0.06,6.82,0.06,1.17,0.08,0.51,0.04,0.43,0.02,20.70,0.16,459,56,327,21,42,17
B1925_CS,RU,TinosAsis,65,10.5,2.22,0.20,7.11,0.09,7.74,0.08,41.00,0.33,1.06,0.07,15.48,0.14,0.98,0.02,0.55,0.06,5.45,0.04,0.85,0.06,0.22,0.03,0.30,0.01,16.90,0.09,487,42,523,15,71,14
B1927_CS,RU,TinosAsis2?,65,3.2,2.17,0.19,7.25,0.10,7.78,0.10,41.20,0.31,1.04,0.08,15.36,0.17,0.97,0.02,0.57,0.06,5.45,0.06,0.87,0.07,0.20,0.03,0.30,0.01,16.70,0.09,487,57,508,25,61,17
B1931_CS,RU,Absecon_asis,61,2.7,2.20,0.24,7.25,0.13,8.11,0.14,42.20,0.47,0.97,0.09,12.64,0.18,0.97,0.03,0.56,0.07,5.82,0.07,0.92,0.08,0.25,0.04,0.33,0.02,17.60,0.15,484,62,544,29,134,21
B1974_CS,SU,VailBeach,52,11.2,2.09,0.18,7.15,0.09,8.68,0.10,43.90,0.40,0.90,0.07,5.25,0.07,0.69,0.01,0.45,0.06,6.82,0.05,0.96,0.07,0.39,0.03,0.38,0.01,22.30,0.14,505,47,305,14,75,16
B2016_CS,SD,Limnos,62,10.5,2.25,0.18,7.31,0.09,8.65,0.10,44.30,0.40,0.85,0.07,5.34,0.07,0.57,0.01,0.41,0.06,6.90,0.05,1.25,0.07,0.57,0.03,0.41,0.01,21.00,0.13,391,43,370,14,124,16
B2070_CS,RB,Marquette_PeckBay1,66,3.5,2.48,0.22,11.98,0.16,11.48,0.16,46.10,0.46,1.00,0.08,2.33,0.06,0.43,0.01,0.36,0.06,5.72,0.06,0.59,0.07,0.51,0.04,0.36,0.01,16.60,0.13,319,51,182,17,26,17
B2071_CS,RB,Marquette_PeckBay2,67,3.9,2.50,0.22,11.98,0.15,11.45,0.15,46.20,0.46,1.01,0.08,2.36,0.05,0.44,0.01,0.37,0.06,5.71,0.06,0.48,0.07,0.46,0.04,0.35,0.01,16.60,0.13,234,48,184,16,16,16
B2075_CS,RB,Marquette_IslingtonBay,59,3.8,2.45,0.23,9.67,0.14,12.27,0.17,47.00,0.48,0.79,0.08,3.29,0.07,0.50,0.02,0.45,0.06,5.74,0.06,0.60,0.07,0.46,0.04,0.36,0.02,16.30,0.13,310,52,182,17,31,17
B2089_CS,RU,Marquette_LoonLake,63,3.8,2.71,0.23,11.11,0.15,12.48,0.17,47.30,0.48,0.67,0.08,1.92,0.05,0.34,0.01,0.51,0.06,5.13,0.05,0.63,0.07,0.56,0.04,0.35,0.01,16.20,0.13,147,47,152,16,12,16
B2090_CS,RU,VailBeach,63,4.0,2.70,0.25,10.99,0.17,12.45,0.22,47.30,0.48,0.70,0.08,1.91,0.05,0.33,0.01,0.51,0.06,5.18,0.05,0.65,0.07,0.56,0.04,0.33,0.01,16.30,0.13,201,47,174,16,24,16
B2112_CS,RR,Marquette_PB2_RAT,61,4.4,2.32,0.37,14.88,0.21,9.82,0.16,45.00,0.47,0.71,0.08,0.80,0.03,0.23,0.01,0.33,0.06,5.44,0.05,0.64,0.07,0.60,0.04,0.38,0.01,18.80,0.14,371,51,261,18,29,17
B2117_CS,RRB,Marquette_PB2_RB_0,61,3.9,2.41,0.22,14.21,0.17,10.76,0.15,45.20,0.45,0.97,0.08,0.91,0.03,0.29,0.01,0.38,0.06,5.55,0.06,0.57,0.07,0.60,0.04,0.38,0.01,17.70,0.14,255,50,200,17,25,16
B2118_CS,RRB,Marquette_PB2_RB_1,56,4.2,2.35,0.22,14.07,0.17,10.24,0.15,45.10,0.46,0.80,0.08,1.04,0.04,0.25,0.01,0.38,0.06,5.39,0.06,0.65,0.07,0.63,0.04,0.39,0.02,18.60,0.14,409,54,289,20,32,17
B2119_0,RRB,Marquette_PB2_RB_2_TG,62,0.2,3.01,1.05,15.83,0.49,9.88,0.41,43.70,0.98,0.48,0.33,0.88,0.17,0.31,0.05,0.33,0.09,5.15,0.20,0.55,0.25,0.55,0.10,0.38,0.12,18.80,0.39,377,197,326,103,0,10
B2120_CS,RRB,Marquette_PB2_RB_2,62,4.1,2.43,0.22,15.19,0.18,9.45,0.13,44.20,0.44,0.83,0.08,1.05,0.04,0.25,0.01,0.31,0.06,5.06,0.05,0.60,0.07,0.61,0.04,0.41,0.02,19.50,0.15,395,53,253,19,30,19
B2150_CS,RU,ChocolateHills_Aloya,68,2.5,2.01,0.32,5.00,0.14,6.01,0.12,34.00,0.41,0.81,0.08,8.75,0.14,0.72,0.02,0.37,0.06,3.70,0.05,0.62,0.07,0.31,0.04,0.24,0.02,37.30,0.27,1269,90,342,29,65,24
B2155_CS,RU,ChocolateHills_Arogo,51,3.2,1.89,0.24,6.93,0.14,6.98,0.17,38.00,0.44,0.98,0.10,18.38,0.24,0.80,0.02,0.55,0.07,5.35,0.06,0.81,0.08,0.19,0.04,0.32,0.02,18.70,0.16,403,63,550,31,92,20
