Spectrum,Type,Name,Norm,Time/h,Na2O,Na2O.err,MgO,MgO.err,Al2O3,Al2O3.err,SiO2,SiO2.err,P2O5,P2O5.err,SO3,SO3.err,Cl,Cl.err,K2O,K2O.err,CaO,CaO.err,TiO2,TiO2.err,Cr2O3,Cr2O3.err,MnO,MnO.err,FeO,FeO.err,Ni,Ni.err,Zn,Zn.err,Br,Br.err
B2157_CS,RU,ChocolateHills_Tears,48,4.5,1.95,0.27,6.50,0.13,7.14,0.12,39.50,0.43,1.00,0.09,17.12,0.21,0.82,0.02,0.54,0.06,5.53,0.06,0.88,0.07,0.21,0.04,0.33,0.02,18.40,0.15,438,59,478,26,66,21
B2224_CS,SU,OceanWatch,68,3.9,2.27,0.19,6.40,0.10,7.78,0.11,39.40,0.40,0.83,0.08,5.54,0.09,0.72,0.02,0.39,0.06,5.55,0.05,0.78,0.07,0.32,0.04,0.26,0.01,29.60,0.20,716,63,332,22,55,19
B2297_CS,SD,Juneau,74,2.1,2.09,0.36,6.10,0.17,6.92,0.14,36.10,0.43,0.80,0.09,5.54,0.11,0.73,0.02,0.33,0.06,4.56,0.06,0.59,0.07,0.28,0.04,0.29,0.02,35.40,0.26,1202,90,426,32,90,22
B2317_CS,RU,Valparaiso,55,3.9,2.13,0.23,7.22,0.12,8.25,0.13,42.70,0.45,1.01,0.09,11.90,0.16,0.96,0.02,0.54,0.06,5.92,0.06,0.90,0.08,0.24,0.04,0.33,0.02,17.70,0.14,438,59,552,27,114,20
B2340_CS,RU,ClarinBeach,44,4.8,2.13,0.20,7.32,0.10,8.21,0.11,42.20,0.32,1.01,0.08,12.90,0.15,0.83,0.02,0.52,0.06,6.12,0.06,0.94,0.07,0.24,0.04,0.33,0.01,17.10,0.09,466,60,481,25,122,19
B2341_CS,RU,DueroBeach,56,4.6,2.11,0.23,7.31,0.13,7.85,0.17,42.10,0.44,1.05,0.09,13.58,0.17,1.03,0.02,0.56,0.06,5.74,0.06,0.85,0.08,0.23,0.04,0.30,0.01,17.10,0.13,485,55,488,23,407,24
B2342_CS,RU,CerveraShoal,45,4.5,2.09,0.21,6.94,0.10,7.68,0.10,40.80,0.32,0.98,0.08,12.76,0.15,0.83,0.02,0.49,0.06,5.54,0.06,0.89,0.07,0.21,0.04,0.33,0.01,20.30,0.11,580,65,511,28,242,22
B2399_CS,RU,PuertoJiminez,59,3.8,2.15,0.22,7.00,0.11,7.87,0.13,41.50,0.43,1.02,0.09,13.51,0.17,1.09,0.03,0.58,0.06,5.79,0.06,0.87,0.07,0.21,0.04,0.29,0.01,18.00,0.14,462,57,510,25,93,19
B2481_CS,RU,LuisDeTorres_asis1,56,3.0,2.35,0.26,7.30,0.16,8.60,0.24,43.60,0.50,1.00,0.10,9.61,0.15,0.90,0.03,0.53,0.07,6.41,0.07,0.94,0.08,0.26,0.04,0.32,0.02,18.00,0.15,570,64,514,29,147,22
B2483_CS,RU,LuisDeTorres_asis2,57,2.9,2.28,0.23,7.28,0.13,8.60,0.14,43.50,0.47,0.97,0.09,9.72,0.15,0.88,0.03,0.51,0.06,6.42,0.07,1.01,0.08,0.26,0.04,0.35,0.02,18.10,0.16,572,65,463,28,143,21
B2486_CS,RB,LuisDeTorres_Brush,58,7.6,1.86,0.20,7.14,0.10,6.89,0.10,39.30,0.37,1.04,0.08,19.11,0.19,0.82,0.02,0.54,0.06,5.72,0.05,0.78,0.07,0.21,0.03,0.30,0.01,16.20,0.11,570,48,464,18,176,18
B2515_CS,RR,LuisDeTorres_RAT,45,9.0,1.67,0.17,7.89,0.10,5.81,0.08,36.10,0.30,1.06,0.08,23.79,0.20,0.54,0.01,0.59,0.06,4.63,0.04,0.82,0.07,0.20,0.03,0.32,0.01,16.40,0.09,644,51,480,19,232,18
B2528_CS,RU,RuizGarcia,45,9.0,1.83,0.20,7.18,0.10,6.60,0.10,38.60,0.37,1.03,0.08,20.36,0.20,1.27,0.02,0.61,0.06,5.02,0.05,0.81,0.07,0.17,0.03,0.29,0.01,16.00,0.12,509,50,440,18,432,22
B2611_CS,RU,Valdivia,57,2.2,2.04,0.25,7.56,0.14,7.31,0.14,40.20,0.48,1.03,0.10,16.92,0.24,1.09,0.03,0.56,0.07,5.22,0.07,0.76,0.09,0.20,0.04,0.28,0.02,16.70,0.16,512,68,359,28,331,26
B2669_CS,RU,Gibraltar,49,2.4,2.13,0.25,7.41,0.12,7.77,0.12,41.80,0.40,1.03,0.09,13.70,0.19,1.01,0.03,0.57,0.07,6.19,0.07,0.84,0.08,0.22,0.04,0.30,0.02,16.90,0.11,426,70,414,31,498,29
B2694_CS,RU,Tisdale2_Timmins1,43,2.9,1.84,0.28,6.20,0.14,8.86,0.15,42.60,0.49,3.14,0.13,8.57,0.16,1.23,0.03,0.43,0.07,7.13,0.08,0.99,0.08,0.16,0.04,0.38,0.02,17.62,0.16,950,84,6267,108,779,35
B2695_CS,RU,Tisdale2_Timmins2,37,3.2,2.16,0.28,6.04,0.14,9.97,0.18,46.20,0.54,1.22,0.10,6.01,0.13,0.93,0.03,0.50,0.07,6.78,0.08,1.05,0.10,0.27,0.04,0.38,0.02,18.03,0.17,1405,95,1798,58,722,34
B2696_CS,RU,Tisdale2_Timmins3,50,2.0,2.54,0.41,6.19,0.21,10.10,0.19,45.40,0.54,1.20,0.10,6.50,0.14,1.00,0.03,0.53,0.07,5.88,0.08,1.05,0.09,0.23,0.04,0.23,0.02,18.78,0.18,2030,108,710,42,377,29
B2699_CS,RU,Tisdale2_Shaw1,57,3.0,2.16,0.21,6.22,0.10,8.56,0.11,42.82,0.36,2.27,0.10,6.81,0.11,1.52,0.03,0.53,0.06,5.61,0.06,1.08,0.08,0.21,0.04,0.54,0.02,21.29,0.12,852,72,1813,49,967,33
B2701_CS,RU,Tisdale2_Shaw2,57,2.9,2.12,0.23,6.04,0.12,8.61,0.14,45.19,0.48,2.24,0.11,5.87,0.11,1.21,0.03,0.56,0.07,5.18,0.06,1.10,0.08,0.24,0.04,0.51,0.02,20.71,0.17,770,71,1853,50,1324,40
B2702_CS,RU,Tisdale2_Shaw3,57,3.2,2.09,0.23,5.90,0.11,8.16,0.13,45.56,0.48,2.01,0.10,5.89,0.11,1.27,0.03,0.62,0.07,4.83,0.06,1.01,0.08,0.27,0.04,0.46,0.02,21.44,0.17,1005,74,2314,55,1470,40
B2713_CS,RU,Salisbury1_asis,56,13.5,2.43,0.18,7.37,0.09,9.00,0.10,44.49,0.38,1.02,0.07,6.16,0.07,1.31,0.02,0.49,0.06,6.76,0.05,1.00,0.07,0.24,0.03,0.45,0.01,19.18,0.12,474,42,283,12,78,15
B2717_CS,RB,Salisbury1_brush,55,3.2,2.54,0.22,7.52,0.12,8.92,0.12,43.94,0.39,1.04,0.09,6.42,0.11,1.34,0.03,0.48,0.06,6.67,0.07,0.97,0.08,0.25,0.04,0.45,0.02,19.37,0.13,453,63,313,25,76,20
B2722_SM,RR,Salisbury1_Rat1,53,6.0,2.74,0.22,8.81,0.12,8.82,0.12,45.52,0.43,1.00,0.08,3.09,0.06,0.87,0.02,0.41,0.06,6.77,0.06,1.09,0.08,0.25,0.03,0.48,0.02,20.05,0.14,482,54,246,18,124,18
B2726_SM,RR2,Salisbury1_RatBrush,44,3.9,2.47,0.34,8.89,0.17,8.51,0.13,45.41,0.42,0.99,0.09,3.48,0.07,1.03,0.03,0.38,0.06,6.78,0.07,1.04,0.08,0.25,0.04,0.49,0.02,20.18,0.13,488,65,245,23,108,20
B2734_CS,RU,Geluk,51,2.9,2.69,0.24,7.43,0.14,10.10,0.17,46.08,0.51,1.13,0.09,4.84,0.10,1.04,0.03,0.46,0.06,7.12,0.08,1.15,0.08,0.27,0.04,0.63,0.02,16.96,0.15,461,65,244,23,68,19
B2764_CS,RU,Homestake,49,1.2,1.63,0.31,4.77,0.16,4.78,0.20,25.42,0.43,0.71,0.16,32.71,0.51,1.02,0.05,0.28,0.07,22.02,0.23,0.29,0.07,0.15,0.05,0.17,0.02,6.05,0.09,21,66,126,29,77,22
B2765_CS,RU,Homestake2,51,3.5,1.72,0.17,4.52,0.06,4.70,0.06,24.59,0.19,0.77,0.08,33.25,0.24,0.99,0.02,0.25,0.06,22.28,0.12,0.22,0.06,0.12,0.03,0.12,0.01,6.48,0.05,0,20,94,12,71,16
B2767_CS,RU,Homestake3,46,3.6,1.50,0.19,4.67,0.08,4.91,0.08,25.78,0.25,0.85,0.09,32.03,0.30,0.85,0.03,0.28,0.06,21.78,0.15,0.29,0.06,0.13,0.04,0.16,0.01,6.78,0.06,86,51,143,18,55,17
B2771_CS,RU,Deadwood,55,3.2,2.17,0.24,5.70,0.14,8.32,0.20,44.04,0.49,1.13,0.10,9.19,0.14,1.12,0.03,0.62,0.07,6.68,0.07,0.98,0.08,0.30,0.04,0.22,0.02,19.40,0.16,410,62,521,29,301,25
B2787_CS,RU,Transvaal,48,3.7,2.32,0.26,7.47,0.16,9.19,0.24,45.85,0.51,1.04,0.10,6.35,0.11,0.98,0.03,0.49,0.06,6.56,0.07,1.11,0.08,0.28,0.04,0.41,0.02,17.82,0.15,565,64,294,23,139,21
B2798_SM,RU,Boesmanskop,52,5.9,2.37,0.23,8.86,0.14,9.35,0.19,45.54,0.45,1.22,0.09,5.74,0.09,0.99,0.02,0.54,0.06,5.79,0.05,1.05,0.07,0.22,0.03,0.43,0.01,17.77,0.13,515,53,348,19,150,19
B2801_CS,RB,Boesmanskop_Brush,63,2.5,2.39,0.35,8.95,0.19,9.52,0.17,45.64,0.51,1.21,0.09,5.58,0.11,0.99,0.03,0.51,0.06,5.75,0.07,1.03,0.08,0.25,0.04,0.41,0.02,17.63,0.15,615,65,350,25,153,22
B2805_SM,RU,Komati,52,8.4,2.37,0.23,8.42,0.14,9.32,0.23,44.70,0.43,1.16,0.09,5.81,0.08,0.92,0.02,0.58,0.06,6.12,0.05,1.08,0.07,0.18,0.03,0.59,0.01,18.66,0.13,461,48,266,15,229,19
B2819_SM,RU,Amboy1,52,4.3,2.13,0.24,9.11,0.16,9.18,0.21,45.65,0.49,1.06,0.09,6.12,0.10,0.83,0.02,0.41,0.06,6.00,0.06,1.05,0.08,0.17,0.03,0.42,0.02,17.76,0.14,421,56,285,20,104,19
B2834_SM,RU,Amboy2,47,5.5,2.19,0.22,9.08,0.13,9.17,0.14,45.69,0.46,1.07,0.08,6.10,0.10,0.85,0.02,0.42,0.06,5.89,0.06,1.01,0.07,0.18,0.03,0.44,0.02,17.80,0.14,524,57,280,19,96,18
B2895_SM,RU,Amboy3,47,4.7,2.15,0.24,8.60,0.14,9.30,0.15,45.68,0.47,1.04,0.09,6.46,0.11,0.90,0.02,0.47,0.06,5.83,0.06,1.00,0.08,0.23,0.04,0.37,0.02,17.85,0.14,576,61,298,22,134,21
B2920_SM,RU,Amboy4,36,3.1,2.33,0.27,7.53,0.16,9.97,0.19,46.01,0.55,1.11,0.10,5.41,0.12,0.74,0.03,0.50,0.07,7.48,0.09,1.07,0.09,0.19,0.04,0.48,0.02,17.10,0.17,306,71,194,27,103,24
B2922_SM,RU,Amboy5,42,2.4,2.25,0.26,7.02,0.15,9.23,0.18,45.91,0.53,0.99,0.10,6.47,0.14,0.89,0.03,0.48,0.07,6.96,0.09,1.18,0.09,0.26,0.04,0.58,0.03,17.67,0.17,249,70,328,31,132,23
B2924_SM,RU,Amboy6,30,2.8,1.77,0.26,7.44,0.17,9.12,0.19,45.94,0.58,1.11,0.11,6.73,0.15,0.94,0.03,0.45,0.07,6.99,0.10,1.03,0.09,0.23,0.05,0.41,0.03,17.75,0.19,221,80,317,36,177,27
B2927_SM,RU,Amboy7,40,5.2,2.37,0.25,7.27,0.14,9.36,0.21,45.17,0.49,1.07,0.09,6.57,0.11,0.90,0.02,0.46,0.06,7.10,0.07,1.05,0.08,0.25,0.04,0.45,0.02,17.88,0.15,472,61,244,21,121,21
B2929_SM,RU,Amboy8,45,3.6,2.30,0.25,7.08,0.13,9.48,0.14,46.13,0.49,0.99,0.09,6.09,0.11,0.83,0.02,0.45,0.06,6.95,0.08,1.15,0.08,0.29,0.04,0.39,0.02,17.73,0.15,447,65,255,24,108,21
B2931_SM,RU,Amboy9,50,2.9,2.34,0.26,7.57,0.14,9.38,0.15,45.81,0.50,1.03,0.09,6.50,0.12,1.04,0.03,0.45,0.06,6.89,0.08,1.12,0.08,0.29,0.04,0.53,0.02,16.94,0.15,410,65,309,26,90,22
B2935_CS,RU,Amboy10,42,3.4,2.24,0.21,7.37,0.11,9.25,0.14,45.50,0.43,1.03,0.09,6.68,0.11,0.98,0.03,0.47,0.06,7.05,0.07,1.16,0.08,0.26,0.04,0.51,0.02,17.41,0.13,353,64,295,26,84,21
B2937_SM,RU,Amboy11,36,3.7,2.07,0.26,7.44,0.15,9.24,0.17,45.78,0.53,1.08,0.10,6.58,0.13,0.93,0.03,0.44,0.07,6.97,0.08,1.10,0.09,0.25,0.04,0.38,0.02,17.67,0.16,376,70,267,28,158,24
B2940_CS,RU,Amboy12,37,2.3,2.25,0.28,7.57,0.17,9.22,0.19,44.90,0.57,1.11,0.11,6.48,0.15,0.90,0.03,0.46,0.07,6.74,0.09,1.08,0.10,0.19,0.05,0.87,0.03,18.09,0.19,615,88,337,35,110,26
B2957_SM,SU,NorthPole2,66,8.5,2.38,0.20,7.14,0.11,8.83,0.16,44.29,0.40,0.94,0.08,7.80,0.09,0.91,0.02,0.52,0.06,6.72,0.05,1.03,0.07,0.30,0.03,0.37,0.01,18.63,0.12,489,44,514,17,46,15
B2960_cs,SD,NorthPole3,53,3.8,2.25,0.25,7.16,0.15,9.08,0.21,45.09,0.49,0.91,0.09,6.97,0.11,0.78,0.02,0.50,0.06,6.93,0.07,1.10,0.08,0.33,0.04,0.37,0.02,18.39,0.15,400,58,472,26,40,19
B2974_SM,RU,Oostark1,37,6.4,1.21,0.21,5.03,0.11,5.35,0.10,25.84,0.29,0.85,0.10,31.32,0.33,1.11,0.03,0.34,0.06,22.10,0.16,0.30,0.07,0.08,0.03,0.14,0.01,6.35,0.07,51,48,170,17,106,19
B2976_cs,RU,Oostark2,43,3.0,1.61,0.27,5.02,0.13,5.27,0.12,27.99,0.37,0.82,0.11,29.67,0.37,1.08,0.04,0.31,0.07,20.67,0.18,0.27,0.06,0.09,0.04,0.17,0.02,7.01,0.09,110,57,165,22,146,22
B2990_SM,RU,Grasberg1,57,9.4,2.28,0.19,6.03,0.09,8.21,0.10,44.43,0.39,1.09,0.08,8.49,0.10,1.88,0.03,0.63,0.06,5.71,0.05,0.97,0.07,0.23,0.03,0.22,0.01,19.64,0.13,425,46,863,22,448,21
B2992_CS,RU,Grasberg2,55,4.6,2.23,0.22,5.89,0.10,8.07,0.13,43.92,0.45,1.00,0.09,9.76,0.13,1.74,0.03,0.63,0.06,6.73,0.06,0.97,0.07,0.23,0.04,0.22,0.01,18.45,0.14,372,54,762,28,343,23
B2995_CS,RB,Grasberg1 brush,50,3.3,2.25,0.22,5.30,0.09,7.83,0.11,45.11,0.39,1.14,0.09,8.76,0.13,2.54,0.04,0.67,0.07,5.11,0.06,0.96,0.08,0.25,0.04,0.19,0.01,19.68,0.12,365,63,923,37,479,27
B3001_CS,RRB,Grasberg1 brush RAT brush,52,3.9,2.57,0.23,3.93,0.10,7.24,0.13,44.00,0.39,1.24,0.09,10.12,0.13,2.74,0.04,0.73,0.07,5.85,0.06,0.92,0.07,0.23,0.04,0.19,0.01,20.03,0.12,452,60,955,34,524,26
B3006_cs,RRB,Grasberg3 brush RAT offset,40,4.1,2.49,0.23,3.63,0.09,7.36,0.11,44.34,0.36,1.23,0.09,9.75,0.14,2.60,0.05,0.71,0.07,6.02,0.06,0.92,0.08,0.23,0.04,0.19,0.01,20.30,0.12,444,68,935,38,540,28
B3022_CS,RU,MonsCupri_asis,55,3.5,2.22,0.26,5.73,0.16,8.40,0.26,45.28,0.52,1.20,0.11,8.12,0.14,1.71,0.04,0.71,0.07,5.91,0.07,0.97,0.08,0.25,0.04,0.18,0.01,19.16,0.16,470,61,558,28,286,24
B3027_SM,RU,Rushall,53,23.9,2.03,0.17,6.97,0.07,7.69,0.08,40.77,0.29,0.95,0.07,13.91,0.11,0.95,0.01,0.49,0.06,7.51,0.04,0.86,0.06,0.25,0.03,0.28,0.01,17.24,0.07,379,37,390,11,210,15
B3064_SM,RU,Kirkwood_asis,54,12.0,2.28,0.19,8.30,0.10,9.88,0.12,49.40,0.43,0.75,0.07,4.57,0.06,1.04,0.02,0.50,0.06,5.11,0.04,0.83,0.07,0.29,0.03,0.23,0.01,16.70,0.11,817,46,131,10,100,15
B3067_SM,RB,Kirkwood1_brushed,68,13.2,2.44,0.17,8.47,0.08,9.91,0.09,49.14,0.29,0.74,0.07,4.50,0.05,1.08,0.01,0.49,0.06,5.03,0.03,0.79,0.06,0.30,0.03,0.22,0.01,16.74,0.07,881,43,134,8,112,14
B3073_SM,RU,Azilda_Asis,57,11.8,2.39,0.19,7.19,0.09,9.72,0.11,46.57,0.40,1.13,0.08,6.51,0.08,0.90,0.02,0.43,0.06,6.60,0.05,0.97,0.07,0.27,0.03,0.37,0.01,16.77,0.11,1004,48,207,11,158,16
B3076_SM,RB,Azilda1_brushed,59,12.3,2.56,0.19,7.74,0.09,10.64,0.12,48.73,0.41,1.41,0.08,4.05,0.06,0.78,0.01,0.34,0.06,6.30,0.04,0.90,0.07,0.26,0.03,0.35,0.01,15.78,0.10,1033,47,151,10,155,16
B3078_SM,RB,Azilda2_brushed,62,13.8,2.48,0.19,7.40,0.09,10.48,0.12,50.33,0.42,1.39,0.08,3.78,0.05,0.73,0.01,0.30,0.06,6.07,0.04,0.90,0.06,0.24,0.03,0.35,0.01,15.38,0.09,898,44,153,9,128,15
B3080_SM,RB,Azilda3_brushed,55,10.7,2.57,0.18,7.98,0.08,10.36,0.10,47.69,0.32,1.37,0.08,4.46,0.05,0.87,0.01,0.37,0.06,6.13,0.04,0.93,0.07,0.26,0.03,0.45,0.01,16.40,0.07,976,49,168,10,112,15
B3085_SM,RR,Azilda2_RAT1,58,14.8,2.75,0.19,7.67,0.09,10.84,0.12,50.59,0.42,1.44,0.08,2.35,0.04,0.52,0.01,0.28,0.06,6.06,0.04,0.91,0.06,0.24,0.03,0.37,0.01,15.80,0.10,951,45,128,9,43,14
B3087_SM,RR,Azilda2_RATbrush,59,20.9,2.55,0.18,7.91,0.09,10.60,0.11,51.18,0.41,1.50,0.07,2.47,0.03,0.53,0.01,0.28,0.05,5.98,0.04,0.87,0.06,0.24,0.03,0.36,0.01,15.38,0.09,922,41,134,7,48,13
B3094_SM,RU,Chelmsford2,56,12.5,2.46,0.17,7.58,0.08,9.46,0.09,46.38,0.28,1.25,0.07,6.64,0.07,1.36,0.02,0.35,0.06,6.79,0.04,0.93,0.06,0.24,0.03,0.61,0.01,15.80,0.06,813,45,261,11,172,16
B3096_SM,RU,Chelmsford3,57,19.5,2.42,0.16,7.60,0.07,8.98,0.08,45.09,0.27,1.28,0.07,7.62,0.07,1.63,0.02,0.37,0.06,7.15,0.04,0.92,0.06,0.25,0.03,0.53,0.01,15.99,0.06,815,41,331,10,154,14
B3138_CS,RU,Sandcherry_asis,52,2.8,2.24,0.21,7.59,0.11,8.33,0.12,43.47,0.35,1.24,0.09,9.06,0.13,1.76,0.04,0.42,0.06,7.58,0.08,0.88,0.08,0.23,0.04,0.36,0.02,16.65,0.10,762,72,445,29,318,25
B3144_SM,RB,Sandcherry_brushed,55,10.1,2.32,0.21,7.79,0.10,8.23,0.10,43.34,0.36,1.29,0.08,8.86,0.10,1.98,0.03,0.40,0.06,7.64,0.06,0.92,0.07,0.22,0.03,0.38,0.01,16.38,0.09,888,50,453,16,348,19
B3146_SM,RR,SandCherry_RAT,58,18.7,2.83,0.26,8.64,0.12,9.02,0.10,44.68,0.31,1.33,0.07,6.42,0.06,1.75,0.02,0.31,0.06,7.05,0.04,0.86,0.06,0.24,0.03,0.39,0.01,16.28,0.07,914,42,373,11,332,16
B3158_SM,RU,Onaping_asis,47,12.7,2.24,0.20,8.21,0.10,11.26,0.13,46.98,0.42,0.99,0.08,6.74,0.08,1.04,0.02,0.27,0.06,6.99,0.05,0.90,0.07,0.28,0.03,0.39,0.01,13.59,0.09,684,46,212,12,62,15
B3162_CS,RU,Onaping2,46,10.5,2.18,0.21,8.57,0.11,10.83,0.13,46.47,0.42,1.02,0.08,7.27,0.09,1.07,0.02,0.29,0.06,7.00,0.05,0.86,0.07,0.27,0.03,0.42,0.01,13.60,0.10,808,50,245,13,48,15
B3168_SM,RU,Vermillion_Cliffs1,50,7.3,2.25,0.22,8.09,0.12,10.27,0.14,45.00,0.43,1.04,0.08,8.71,0.11,1.27,0.02,0.31,0.06,7.16,0.06,0.83,0.07,0.26,0.03,0.40,0.01,14.24,0.11,868,54,216,15,312,20
B3171_SM,RU,Vermillion_Cliffs2,50,8.8,2.26,0.21,8.18,0.11,10.25,0.13,45.02,0.41,1.05,0.08,8.72,0.11,1.26,0.02,0.30,0.06,7.17,0.06,0.83,0.07,0.23,0.03,0.38,0.01,14.20,0.10,844,51,211,13,326,19
B3174_SM,RU,Vermilion_Lake1,51,8.9,2.14,0.18,7.23,0.08,8.63,0.09,44.40,0.29,1.12,0.08,9.26,0.10,1.47,0.02,0.51,0.06,7.33,0.05,1.00,0.07,0.26,0.03,0.40,0.01,16.07,0.07,741,50,577,18,93,16
B3177_CS,RU,Vermilion_Lake2,51,3.3,1.93,0.25,7.28,0.13,8.60,0.14,44.41,0.47,1.14,0.09,9.27,0.15,1.52,0.03,0.50,0.07,7.27,0.08,1.01,0.09,0.29,0.04,0.38,0.02,16.23,0.14,818,71,600,31,80,22
B3179_SM,RU,Vermilion_Cliffs2a,52,5.3,2.43,0.24,8.51,0.13,10.34,0.15,46.08,0.45,1.13,0.09,6.86,0.10,1.27,0.03,0.33,0.06,6.15,0.06,0.85,0.07,0.26,0.03,0.41,0.01,15.23,0.12,916,59,188,16,229,20
B3190_CS,RU,Ortiz1,54,9.0,2.21,0.20,6.44,0.09,8.69,0.11,42.64,0.39,1.17,0.08,12.14,0.13,0.90,0.02,0.33,0.06,9.81,0.07,0.78,0.07,0.25,0.03,0.54,0.01,13.98,0.10,694,48,167,12,227,18
B3192_CS,RU,Ortiz2,48,9.0,2.21,0.23,6.58,0.10,9.62,0.13,46.52,0.44,1.23,0.08,7.87,0.10,0.92,0.02,0.32,0.06,7.91,0.06,0.92,0.07,0.23,0.03,0.47,0.01,15.07,0.11,723,51,193,13,157,18
B3194_SM,RU,Ortiz3,54,18.0,2.18,0.16,6.60,0.07,9.14,0.08,45.28,0.27,1.14,0.07,9.43,0.08,0.84,0.01,0.35,0.06,8.47,0.05,0.89,0.06,0.27,0.03,0.48,0.01,14.81,0.06,668,40,198,9,208,15
B3200_SM,RU,Ortiz2B,59,11.4,2.09,0.19,6.28,0.08,8.57,0.11,41.98,0.37,1.17,0.08,13.51,0.13,0.95,0.02,0.27,0.06,10.35,0.07,0.78,0.06,0.22,0.03,0.47,0.01,13.24,0.09,670,44,144,10,208,17
B3207_CS,RU,Fullerton,44,17.9,2.31,0.21,7.41,0.10,10.37,0.12,48.04,0.39,1.62,0.09,5.39,0.07,0.96,0.02,0.36,0.06,5.51,0.04,0.96,0.07,0.22,0.03,0.29,0.01,16.39,0.08,935,48,194,11,54,15
B3208_CS,RU,Fullerton2,50,3.1,2.21,0.27,7.99,0.15,10.51,0.18,50.30,0.55,0.87,0.09,4.54,0.10,0.84,0.03,0.35,0.06,5.96,0.07,0.98,0.09,0.26,0.04,0.28,0.02,14.76,0.14,741,68,199,21,182,23
B3209_SM,RB,Fullerton3Brushed,52,7.4,2.25,0.21,8.22,0.11,10.47,0.13,50.14,0.45,0.89,0.08,4.64,0.07,0.85,0.02,0.33,0.06,5.81,0.05,0.96,0.08,0.29,0.03,0.28,0.01,14.75,0.11,738,51,176,13,159,18
B3214_SM,RU,FecunisLake,52,4.5,2.36,0.24,8.33,0.13,9.91,0.15,46.31,0.47,0.93,0.09,6.77,0.11,1.50,0.03,0.39,0.06,5.90,0.06,0.87,0.07,0.27,0.04,0.33,0.01,15.91,0.13,938,63,228,18,108,19
B3224_SM,RU,Maley,53,6.1,2.24,0.23,8.17,0.12,8.94,0.13,43.60,0.42,0.99,0.08,9.79,0.13,1.70,0.03,0.41,0.06,7.02,0.06,0.87,0.08,0.25,0.03,0.36,0.01,15.49,0.12,863,57,414,19,85,18
B3239_CS,RU,Lihir,46,2.9,1.66,0.33,5.89,0.19,12.92,0.28,58.44,0.66,1.19,0.11,6.25,0.13,1.58,0.04,0.37,0.06,4.03,0.06,1.16,0.08,0.32,0.04,0.16,0.01,5.80,0.08,644,60,304,22,114,20
B3247_CS,RU,SturgeonRiver1,47,12.0,2.17,0.19,7.76,0.10,9.65,0.12,48.86,0.43,0.80,0.07,5.22,0.07,1.04,0.02,0.46,0.06,5.50,0.04,0.87,0.07,0.29,0.03,0.29,0.01,16.96,0.11,691,48,199,12,88,16
B3248_CS,RU,SturgeonRiver2,45,10.5,2.41,0.20,8.14,0.10,10.06,0.12,48.83,0.44,0.88,0.07,4.78,0.07,0.99,0.02,0.30,0.06,5.46,0.05,0.81,0.07,0.28,0.03,0.25,0.01,16.69,0.11,724,50,159,12,53,16
B3249_SM,RU,SturgeonRiver1a,49,4.9,2.15,0.23,8.24,0.13,9.87,0.15,49.44,0.49,0.74,0.08,4.67,0.08,0.88,0.02,0.41,0.06,5.17,0.05,0.81,0.07,0.32,0.04,0.24,0.01,16.95,0.13,806,61,155,17,48,19
B3251_CS,RR,SturgeonRiver3_RAT,50,2.2,2.05,0.28,8.68,0.17,9.91,0.20,50.20,0.60,0.62,0.09,4.08,0.10,0.76,0.03,0.32,0.06,5.21,0.07,0.89,0.08,0.26,0.04,0.29,0.02,16.62,0.16,749,77,133,23,59,22
B3252_CS,RR,SturgeonRiver3_RAT1,50,2.3,2.32,0.43,8.77,0.24,9.94,0.22,50.10,0.59,0.70,0.09,4.08,0.10,0.76,0.03,0.35,0.06,5.01,0.07,0.74,0.08,0.34,0.04,0.28,0.02,16.49,0.16,849,78,111,23,44,22
B3253_SM,RR,SturgeonRiver3_RAT2,51,3.1,2.21,0.25,9.29,0.15,9.61,0.16,49.50,0.53,0.59,0.08,3.32,0.08,0.47,0.02,0.36,0.06,5.11,0.06,0.81,0.09,0.36,0.04,0.29,0.02,17.90,0.15,1165,76,132,20,57,19
